source_airport,destination_airport
IAH,FRA
ULK,YKS
SFO,ORD
SDQ,GIG
DTW,MSP
GLA,LSI
HNL,MKK
TAO,WUH
CTU,TXN
AGP,OVD
BUD,MLA
TPA,BHM
INV,SYY
AZA,FAR
PLX,ALA
SLC,RDU
XNA,ORD
DXB,SVX
LUX,NAP
ORD,CMI
PVG,LYI
EGO,DME
TET,BEW
EIN,IBZ
SDF,ATL
LAX,YUM
DXB,TIP
ISA,CNS
UBJ,HND
LGA,DFW
OME,WAA
BPS,CNF
HMO,LAX
KUL,CAN
BEG,LTN
FRA,ATL
HGA,JIB
VVI,MIA
TYS,DFW
FUK,CJU
CTU,WUX
DXB,AMM
PRG,UFA
XIC,CTU
TIP,BEN
OSL,HAM
DME,VNO
ZUH,LZH
MRS,FSC
MQL,BHQ
PHL,BCN
ICN,CDG
BET,WNA
HGH,KIX
BCN,LIS
GVA,MAD
SEA,PEK
BUC,DMD
NAP,HAM
TLV,KTW
HND,HKG
VIE,AYT
NGB,XIY
MIA,CMH
ALA,FRU
NRT,NOU
CMH,LAX
ATL,SAV
PKU,CGK
URC,KHG
MPA,ERS
KRR,SVX
PMI,PAD
BDS,MXP
BOM,MUC
YFA,YMO
YZF,YFS
ZRH,VIE
AMM,BCN
VIE,CDG
TSN,CGO
SHE,TAO
NAN,CHC
RGN,AKY
BNE,ROK
TXL,DBV
FOC,KMG
FNC,ZRH
OOL,SYD
ZYI,PEK
TRI,CLT
RDD,SFO
SXF,BSL
IAH,ELP
DLC,NKG
SXF,PSA
ATL,SBN
MJD,SKZ
